project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,3,Transport_Logistics,3.09754,620.45,38.74,2.2901,1.93287,126109.93,6451.57,1045.426,260.89
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,3,Water_Waste,1.65327,206.01,24.81,18.2124,1.18639,126109.93,6451.57,1045.426,260.89
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Agriculture,0.56908,91.27,17.63,3.9181,0.44548,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Construction,0.96089,246.06,17.23,0.9705,0.47968,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Energy_Utilities,1.73849,388.98,10.46,2.9008,1.16827,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Health_Social,1.1763,190.87,28.46,1.4038,0.85635,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Manufacturing,2.87288,1249.55,29.16,5.6263,1.24281,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Mining_Extraction,2.42097,916.79,21.3,5.6337,1.39642,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Transport_Logistics,1.43856,288.15,17.99,1.0636,0.89766,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,4,Water_Waste,0.76787,95.68,11.53,8.4589,0.55103,129577.28,6605.33,1075.401,267.927
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Agriculture,0.26411,42.36,8.18,1.8184,0.20675,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Construction,0.44648,114.34,8.01,0.4509,0.22288,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Energy_Utilities,0.80782,180.74,4.86,1.3479,0.54285,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Health_Social,0.54634,88.65,13.22,0.652,0.39774,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Manufacturing,1.3354,580.83,13.55,2.6153,0.5777,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Mining_Extraction,1.1251,426.06,9.9,2.6182,0.64896,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Transport_Logistics,0.66838,133.88,8.36,0.4941,0.41707,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,5,Water_Waste,0.35667,44.44,5.35,3.929,0.25594,131188.58,6676.76,1089.327,271.197
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Agriculture,0.12269,19.68,3.8,0.8447,0.09604,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Construction,0.2075,53.14,3.72,0.2096,0.10358,131937.36,6709.95,1095.798,272.717
